entry_date,expiry,index,kind,spot,vix,lot,sp,sc,lp,lc,credit,max_loss,stop_mult,be_low,be_high,status,expiry_spot,pnl_pts,pnl_inr
2026-06-19,2026-07-28,NIFTY,condor,24013.1,12.97,65,23200.0,24800.0,22800.0,25200.0,120.2,279.8,1.5,23079.8,24920.2,open,,,
2026-06-19,2026-07-28,NIFTY,strangle,24013.1,12.97,65,23200.0,24800.0,,,246.4,naked,2.5,22953.7,25046.3,open,,,
2026-06-19,2026-07-28,BANKNIFTY,condor,57685.8,12.97,35,55600.0,59900.0,54500.0,61000.0,329.9,770.1,0.0,55270.1,60229.9,open,,,
